Ticker.Symbol,Security,SEC.filings,GICS.Sector,GICS.Sub.Industry,City,State,Country,Date.first.added,CIK,Financials.,marketcap
ORLY,"OReilly Automotive,reports,Consumer Discretionary,Specialty Stores,""Springfield, Missouri"",United States,3/27/2009,898173,0
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,""Los Angeles, California"",United States,12/31/1982,797468,1
OMC,Omnicom Group,reports,Consumer Discretionary,Advertising,""New York, New York"",United States,,29989,1
OKE,ONEOK,reports,Energy,Oil & Gas Exploration & Production,""Tulsa, Oklahoma"",United States,3/15/2010,1039684,1
ORCL,Oracle Corp.,reports,Information Technology,Application Software,""Redwood Shores, California"",United States,8/31/1989,1341439,0
PCAR,PACCAR Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,""Bellevue, Washington"",United States,12/31/1980,75362,1
PH,Parker-Hannifin,reports,Industrials,Industrial Conglomerates,""Cleveland, Ohio"",United States,11/30/1985,76334,1
PDCO,Patterson Companies,reports,Health Care,Health Care Supplies,""St. Paul, Minnesota"",United States,,891024,1
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,""Penfield, New York"",United States,,723531,1
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,""San Jose, California"",United States,7/20/2015,1633917,1
PNR,Pentair Ltd.,reports,Industrials,Industrial Machinery,Worsley,United Kingdom,10/1/2012,77360,1
PBCT,Peoples United Financial",reports,Financials,Thrifts & Mortgage Finance,Bridgeport, Connecticut,United States,11/13/2008,1378946,0,159166999.3
PBI,Pitney-Bowes,reports,Industrials,"Technology, Hardware, Software and Supplies",Stamford, Connecticut,United States,,78814,1,23103990
PCG,PG&E Corp.,reports,Utilities,MultiUtilities,San Francisco, California,United States,,1004980,1,101990291
PCLN,Priceline.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Norwalk, Connecticut,United States,11/6/2009,1075531,1,593900929.9
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,Newark, New Jersey,United States,,788784,1,87768778
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,Purchase, New York,United States,,77476,1,362689421.6
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,New York, New York,United States,,78003,1,612787168
PFG,Principal Financial Group,reports,Financials,Diversified Financial Services,Des Moines, Iowa,United States,,1126328,1,46363218.8
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,Cincinnati, Ohio,United States,,80424,0,522119996.4
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,Mayfield Village, Ohio,United States,,80661,1,55429700
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,Atlanta, Georgia,United States,4/30/1984,822416,1,53241343.1
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,Waltham, Massachusetts,United States,5/31/1985,31791,1,18554970.71
